order_id,heure,type,prix_demande,prix_execute,slippage_pts,slippage_usd,latence_ms,qualite,condition,requote,partiel,lots,spread_pts
8b304686,2026-06-07T09:34:00,BUY,2000.0,2000.02,2.1,0.02,161,MOYEN,NORMAL,False,False,0.01,9.6
060a26d4,2026-06-07T09:34:00,BUY,2000.0,2000.01,1.4,0.01,84,BON,NORMAL,False,False,0.01,8.9
6d4dc40f,2026-06-07T09:34:00,BUY,2000.0,2000.01,1.2,0.01,155,BON,NORMAL,False,False,0.01,8.6
58beef88,2026-06-07T09:34:00,BUY,2000.0,2000.01,1.4,0.01,117,BON,NORMAL,False,False,0.01,8.9
c0b7ce07,2026-06-07T09:34:00,BUY,2000.0,2000.02,2.1,0.02,92,MOYEN,NORMAL,False,False,0.01,9.9
7642582b,2026-06-07T09:34:00,BUY,2000.0,2000.02,1.7,0.02,134,BON,NORMAL,False,False,0.01,9.9
32906cb3,2026-06-07T09:34:00,BUY,2000.0,2000.01,1.1,0.01,134,BON,NORMAL,False,False,0.01,9.9
65c2cb99,2026-06-07T09:34:00,BUY,2000.0,2000.03,3.2,0.03,144,MOYEN,NORMAL,False,False,0.01,10.2
242b83b0,2026-06-07T09:34:00,BUY,2000.0,2000.02,1.9,0.02,119,BON,NORMAL,False,False,0.01,8.5
5049ac21,2026-06-07T09:34:00,BUY,2000.0,2000.02,2.4,0.02,170,MOYEN,NORMAL,False,False,0.01,9.3
96ef9192,2026-06-07T09:34:00,BUY,2000.0,2000.02,1.8,0.02,180,BON,NORMAL,False,False,0.01,8.8
bba4b234,2026-06-07T09:34:00,BUY,2000.0,2000.02,1.7,0.02,139,BON,NORMAL,False,False,0.01,9.9
6f526318,2026-06-07T09:34:00,BUY,2000.0,2000.02,2.4,0.02,138,MOYEN,NORMAL,False,False,0.01,9.0
4896dcd7,2026-06-07T09:34:00,BUY,2000.0,2000.02,1.7,0.02,86,BON,NORMAL,False,False,0.01,8.9
435ac77b,2026-06-07T09:34:00,BUY,2000.0,2000.02,1.6,0.02,95,BON,NORMAL,False,False,0.01,9.1
dbe67ff4,2026-06-07T09:34:00,BUY,2000.0,2000.01,1.1,0.01,113,BON,NORMAL,False,False,0.01,10.2
8b337eac,2026-06-07T09:34:00,BUY,2000.0,2000.01,1.3,0.01,97,BON,NORMAL,False,False,0.01,8.8
38a232b2,2026-06-07T09:34:00,BUY,2000.0,2000.07,2.5,0.0,136,REQUOTÉ,NORMAL,True,False,0.0,10.1
b72b2563,2026-06-07T09:34:00,BUY,2000.0,2000.02,1.8,0.02,99,BON,NORMAL,False,False,0.01,10.0
03516318,2026-06-07T09:34:00,BUY,2000.0,2000.02,2.2,0.02,85,MOYEN,NORMAL,False,False,0.01,10.1
85266802,2026-06-07T09:34:00,BUY,2000.0,2000.01,1.1,0.01,178,BON,NORMAL,False,False,0.01,9.9
5e31b08a,2026-06-07T09:34:00,BUY,2000.0,2000.02,2.4,0.02,165,MOYEN,NORMAL,False,False,0.01,9.9
b76db4f4,2026-06-07T09:34:00,BUY,2000.0,2000.01,1.2,0.01,138,BON,NORMAL,False,False,0.01,9.3
8b9b99ec,2026-06-07T09:34:00,BUY,2000.0,2000.02,1.8,0.02,102,BON,NORMAL,False,False,0.01,9.5
2f64b423,2026-06-07T09:34:00,BUY,2000.0,2000.02,1.5,0.01,120,BON,NORMAL,False,False,0.01,9.5
93e1e844,2026-06-07T09:34:00,BUY,2000.0,2000.02,1.5,0.01,97,BON,NORMAL,False,False,0.01,9.6
52cce592,2026-06-07T09:34:00,BUY,2000.0,2000.01,1.4,0.01,110,BON,NORMAL,False,False,0.01,9.2
8479a563,2026-06-07T09:34:00,BUY,2000.0,2000.01,1.2,0.01,171,BON,NORMAL,False,False,0.01,9.1
b7bc5e4e,2026-06-07T09:34:00,BUY,2000.0,2000.02,2.1,0.02,138,MOYEN,NORMAL,False,False,0.01,10.1
e0e1d9d0,2026-06-07T09:34:00,BUY,2000.0,2000.01,1.2,0.01,169,BON,NORMAL,False,False,0.01,9.7
ff6fbde8,2026-06-07T09:34:00,BUY,2000.0,2000.02,2.0,0.02,127,BON,NORMAL,False,False,0.01,9.5
dfe9071e,2026-06-07T09:34:00,BUY,2000.0,2000.02,1.8,0.02,177,BON,NORMAL,False,False,0.01,10.2
47b4c5f2,2026-06-07T09:34:00,BUY,2000.0,2000.02,1.7,0.02,161,BON,NORMAL,False,False,0.01,9.3
c3f5ec5f,2026-06-07T09:34:00,BUY,2000.0,2000.02,1.5,0.01,156,BON,NORMAL,False,False,0.01,9.6
ab1d7406,2026-06-07T09:34:00,BUY,2000.0,2000.02,1.5,0.01,105,BON,NORMAL,False,False,0.01,9.5
be489334,2026-06-07T09:34:00,BUY,2000.0,2000.01,1.4,0.01,116,BON,NORMAL,False,False,0.01,9.6
f4ed258a,2026-06-07T09:34:00,BUY,2000.0,2000.01,1.4,0.01,82,BON,NORMAL,False,False,0.01,10.1
dc1f0693,2026-06-07T09:34:00,BUY,2000.0,2000.13,2.9,0.0,136,REQUOTÉ,NORMAL,True,False,0.0,10.1
08eb463a,2026-06-07T09:34:00,BUY,2000.0,2000.02,1.7,0.02,99,BON,NORMAL,False,False,0.01,10.3
c6246c64,2026-06-07T09:34:00,BUY,2000.0,2000.02,1.6,0.02,160,BON,NORMAL,False,False,0.01,10.3
10689d78,2026-06-07T09:34:00,BUY,2000.0,2000.01,1.2,0.01,175,BON,NORMAL,False,False,0.01,9.3
c2bad5e8,2026-06-07T09:34:00,BUY,2000.0,2000.02,2.3,0.02,111,MOYEN,NORMAL,False,False,0.01,8.9
f10c6c66,2026-06-07T09:34:00,BUY,2000.0,2000.03,2.9,0.03,154,MOYEN,NORMAL,False,False,0.01,9.7
43bd6c7d,2026-06-07T09:34:00,BUY,2000.0,2000.03,3.2,0.03,100,MOYEN,NORMAL,False,False,0.01,10.3
d25dc056,2026-06-07T09:34:00,BUY,2000.0,2000.01,1.2,0.01,157,BON,NORMAL,False,False,0.01,9.1
750d6879,2026-06-07T09:34:00,BUY,2000.0,2000.03,2.7,0.03,133,MOYEN,NORMAL,False,False,0.01,10.2
f4840ce0,2026-06-07T09:34:00,BUY,2000.0,2000.02,1.7,0.02,108,BON,NORMAL,False,False,0.01,8.7
50f40df1,2026-06-07T09:34:00,BUY,2000.0,2000.02,2.3,0.02,110,MOYEN,NORMAL,False,False,0.01,9.7
e0e4ebad,2026-06-07T09:34:00,BUY,2000.0,2000.01,1.4,0.01,162,BON,NORMAL,False,False,0.01,9.3
3c8f87b2,2026-06-07T09:34:01,BUY,2000.0,2000.01,1.4,0.01,108,BON,NORMAL,False,False,0.01,9.4
