order_id,heure,type,prix_demande,prix_execute,slippage_pts,slippage_usd,latence_ms,qualite,condition,requote,partiel,lots,spread_pts
1e03099c,2026-06-07T09:46:44,BUY,2000.0,2000.02,2.1,0.02,161,MOYEN,NORMAL,False,False,0.01,9.6
8c9981e6,2026-06-07T09:46:44,BUY,2000.0,2000.01,1.4,0.01,84,BON,NORMAL,False,False,0.01,8.9
ecbca739,2026-06-07T09:46:44,BUY,2000.0,2000.01,1.2,0.01,155,BON,NORMAL,False,False,0.01,8.6
e0285c9b,2026-06-07T09:46:44,BUY,2000.0,2000.01,1.4,0.01,117,BON,NORMAL,False,False,0.01,8.9
9222ca62,2026-06-07T09:46:44,BUY,2000.0,2000.02,2.1,0.02,92,MOYEN,NORMAL,False,False,0.01,9.9
3916a2a4,2026-06-07T09:46:44,BUY,2000.0,2000.02,1.7,0.02,134,BON,NORMAL,False,False,0.01,9.9
f57b5ad4,2026-06-07T09:46:44,BUY,2000.0,2000.01,1.1,0.01,134,BON,NORMAL,False,False,0.01,9.9
89336708,2026-06-07T09:46:44,BUY,2000.0,2000.03,3.2,0.03,144,MOYEN,NORMAL,False,False,0.01,10.2
c271858f,2026-06-07T09:46:44,BUY,2000.0,2000.02,1.9,0.02,119,BON,NORMAL,False,False,0.01,8.5
70cf87cf,2026-06-07T09:46:44,BUY,2000.0,2000.02,2.4,0.02,170,MOYEN,NORMAL,False,False,0.01,9.3
ac54c679,2026-06-07T09:46:44,BUY,2000.0,2000.02,1.8,0.02,180,BON,NORMAL,False,False,0.01,8.8
da00a80e,2026-06-07T09:46:44,BUY,2000.0,2000.02,1.7,0.02,139,BON,NORMAL,False,False,0.01,9.9
ca5f5c6f,2026-06-07T09:46:44,BUY,2000.0,2000.02,2.4,0.02,138,MOYEN,NORMAL,False,False,0.01,9.0
512cb234,2026-06-07T09:46:44,BUY,2000.0,2000.02,1.7,0.02,86,BON,NORMAL,False,False,0.01,8.9
76959e90,2026-06-07T09:46:44,BUY,2000.0,2000.02,1.6,0.02,95,BON,NORMAL,False,False,0.01,9.1
3a448a51,2026-06-07T09:46:44,BUY,2000.0,2000.01,1.1,0.01,113,BON,NORMAL,False,False,0.01,10.2
d88d083d,2026-06-07T09:46:44,BUY,2000.0,2000.01,1.3,0.01,97,BON,NORMAL,False,False,0.01,8.8
b3e24943,2026-06-07T09:46:44,BUY,2000.0,2000.07,2.5,0.0,136,REQUOTÉ,NORMAL,True,False,0.0,10.1
4afb7120,2026-06-07T09:46:44,BUY,2000.0,2000.02,1.8,0.02,99,BON,NORMAL,False,False,0.01,10.0
bdb3bd11,2026-06-07T09:46:44,BUY,2000.0,2000.02,2.2,0.02,85,MOYEN,NORMAL,False,False,0.01,10.1
4919452e,2026-06-07T09:46:45,BUY,2000.0,2000.01,1.1,0.01,178,BON,NORMAL,False,False,0.01,9.9
cdf44126,2026-06-07T09:46:45,BUY,2000.0,2000.02,2.4,0.02,165,MOYEN,NORMAL,False,False,0.01,9.9
1aa3c898,2026-06-07T09:46:45,BUY,2000.0,2000.01,1.2,0.01,138,BON,NORMAL,False,False,0.01,9.3
788c5d7c,2026-06-07T09:46:45,BUY,2000.0,2000.02,1.8,0.02,102,BON,NORMAL,False,False,0.01,9.5
bbdd40a8,2026-06-07T09:46:45,BUY,2000.0,2000.02,1.5,0.01,120,BON,NORMAL,False,False,0.01,9.5
5aa1f131,2026-06-07T09:46:45,BUY,2000.0,2000.02,1.5,0.01,97,BON,NORMAL,False,False,0.01,9.6
9b207031,2026-06-07T09:46:45,BUY,2000.0,2000.01,1.4,0.01,110,BON,NORMAL,False,False,0.01,9.2
c2e36e32,2026-06-07T09:46:45,BUY,2000.0,2000.01,1.2,0.01,171,BON,NORMAL,False,False,0.01,9.1
1608f4ca,2026-06-07T09:46:45,BUY,2000.0,2000.02,2.1,0.02,138,MOYEN,NORMAL,False,False,0.01,10.1
452dfa9b,2026-06-07T09:46:45,BUY,2000.0,2000.01,1.2,0.01,169,BON,NORMAL,False,False,0.01,9.7
7237df51,2026-06-07T09:46:45,BUY,2000.0,2000.02,2.0,0.02,127,BON,NORMAL,False,False,0.01,9.5
e6366838,2026-06-07T09:46:45,BUY,2000.0,2000.02,1.8,0.02,177,BON,NORMAL,False,False,0.01,10.2
611043a6,2026-06-07T09:46:45,BUY,2000.0,2000.02,1.7,0.02,161,BON,NORMAL,False,False,0.01,9.3
e6709782,2026-06-07T09:46:45,BUY,2000.0,2000.02,1.5,0.01,156,BON,NORMAL,False,False,0.01,9.6
9ac5d372,2026-06-07T09:46:45,BUY,2000.0,2000.02,1.5,0.01,105,BON,NORMAL,False,False,0.01,9.5
821efe6f,2026-06-07T09:46:45,BUY,2000.0,2000.01,1.4,0.01,116,BON,NORMAL,False,False,0.01,9.6
95d56986,2026-06-07T09:46:45,BUY,2000.0,2000.01,1.4,0.01,82,BON,NORMAL,False,False,0.01,10.1
1db6e418,2026-06-07T09:46:45,BUY,2000.0,2000.13,2.9,0.0,136,REQUOTÉ,NORMAL,True,False,0.0,10.1
03ceec59,2026-06-07T09:46:45,BUY,2000.0,2000.02,1.7,0.02,99,BON,NORMAL,False,False,0.01,10.3
5aeb3830,2026-06-07T09:46:45,BUY,2000.0,2000.02,1.6,0.02,160,BON,NORMAL,False,False,0.01,10.3
b9af65c8,2026-06-07T09:46:45,BUY,2000.0,2000.01,1.2,0.01,175,BON,NORMAL,False,False,0.01,9.3
7fa205a5,2026-06-07T09:46:45,BUY,2000.0,2000.02,2.3,0.02,111,MOYEN,NORMAL,False,False,0.01,8.9
f173f604,2026-06-07T09:46:45,BUY,2000.0,2000.03,2.9,0.03,154,MOYEN,NORMAL,False,False,0.01,9.7
839073b2,2026-06-07T09:46:45,BUY,2000.0,2000.03,3.2,0.03,100,MOYEN,NORMAL,False,False,0.01,10.3
4ad374bc,2026-06-07T09:46:45,BUY,2000.0,2000.01,1.2,0.01,157,BON,NORMAL,False,False,0.01,9.1
