order_id,heure,type,prix_demande,prix_execute,slippage_pts,slippage_usd,latence_ms,qualite,condition,requote,partiel,lots,spread_pts
50edb3a3,2026-06-09T11:19:37,BUY,2000.0,2000.02,2.1,0.02,161,MOYEN,NORMAL,False,False,0.01,9.0
c11b8b4e,2026-06-09T11:19:37,BUY,2000.0,2000.01,1.4,0.01,84,BON,NORMAL,False,False,0.01,8.3
e9661b91,2026-06-09T11:19:37,BUY,2000.0,2000.01,1.2,0.01,155,BON,NORMAL,False,False,0.01,8.1
a66bce7d,2026-06-09T11:19:37,BUY,2000.0,2000.01,1.4,0.01,117,BON,NORMAL,False,False,0.01,8.3
eafc155e,2026-06-09T11:19:37,BUY,2000.0,2000.02,2.1,0.02,92,MOYEN,NORMAL,False,False,0.01,9.2
77b3f99c,2026-06-09T11:19:37,BUY,2000.0,2000.02,1.7,0.02,134,BON,NORMAL,False,False,0.01,9.3
3821fb65,2026-06-09T11:19:37,BUY,2000.0,2000.01,1.1,0.01,134,BON,NORMAL,False,False,0.01,9.3
7ceb7088,2026-06-09T11:19:37,BUY,2000.0,2000.03,3.2,0.03,144,MOYEN,NORMAL,False,False,0.01,9.6
7b7de303,2026-06-09T11:19:37,BUY,2000.0,2000.02,1.9,0.02,119,BON,NORMAL,False,False,0.01,7.9
1bc29734,2026-06-09T11:19:37,BUY,2000.0,2000.02,2.4,0.02,170,MOYEN,NORMAL,False,False,0.01,8.8
6b48dd97,2026-06-09T11:19:37,BUY,2000.0,2000.02,1.8,0.02,180,BON,NORMAL,False,False,0.01,8.2
d870fbaf,2026-06-09T11:19:37,BUY,2000.0,2000.02,1.7,0.02,139,BON,NORMAL,False,False,0.01,9.3
a78d7412,2026-06-09T11:19:37,BUY,2000.0,2000.02,2.4,0.02,138,MOYEN,NORMAL,False,False,0.01,8.5
f1ea7c38,2026-06-09T11:19:37,BUY,2000.0,2000.02,1.7,0.02,86,BON,NORMAL,False,False,0.01,8.3
29dbc509,2026-06-09T11:19:37,BUY,2000.0,2000.02,1.6,0.02,95,BON,NORMAL,False,False,0.01,8.5
a538fd5f,2026-06-09T11:19:37,BUY,2000.0,2000.01,1.1,0.01,113,BON,NORMAL,False,False,0.01,9.6
69e2a829,2026-06-09T11:19:37,BUY,2000.0,2000.01,1.3,0.01,97,BON,NORMAL,False,False,0.01,8.2
7e64c392,2026-06-09T11:19:37,BUY,2000.0,2000.07,2.5,0.0,136,REQUOTÉ,NORMAL,True,False,0.0,9.5
bc084135,2026-06-09T11:19:37,BUY,2000.0,2000.02,1.8,0.02,99,BON,NORMAL,False,False,0.01,9.3
7f3ca6d2,2026-06-09T11:19:37,BUY,2000.0,2000.02,2.2,0.02,85,MOYEN,NORMAL,False,False,0.01,9.4
dc55c15a,2026-06-09T11:19:37,BUY,2000.0,2000.01,1.1,0.01,178,BON,NORMAL,False,False,0.01,9.2
29804cd4,2026-06-09T11:19:37,BUY,2000.0,2000.02,2.4,0.02,165,MOYEN,NORMAL,False,False,0.01,9.3
4d021107,2026-06-09T11:19:37,BUY,2000.0,2000.01,1.2,0.01,138,BON,NORMAL,False,False,0.01,8.7
b2765055,2026-06-09T11:19:37,BUY,2000.0,2000.02,1.8,0.02,102,BON,NORMAL,False,False,0.01,8.9
85962e60,2026-06-09T11:19:37,BUY,2000.0,2000.02,1.5,0.01,120,BON,NORMAL,False,False,0.01,8.9
49af0699,2026-06-09T11:19:37,BUY,2000.0,2000.02,1.5,0.01,97,BON,NORMAL,False,False,0.01,9.0
1983e18b,2026-06-09T11:19:37,BUY,2000.0,2000.01,1.4,0.01,110,BON,NORMAL,False,False,0.01,8.6
e4468899,2026-06-09T11:19:37,BUY,2000.0,2000.01,1.2,0.01,171,BON,NORMAL,False,False,0.01,8.6
f155f8f1,2026-06-09T11:19:37,BUY,2000.0,2000.02,2.1,0.02,138,MOYEN,NORMAL,False,False,0.01,9.5
9d372f7c,2026-06-09T11:19:37,BUY,2000.0,2000.01,1.2,0.01,169,BON,NORMAL,False,False,0.01,9.1
b81911da,2026-06-09T11:19:37,BUY,2000.0,2000.02,2.0,0.02,127,BON,NORMAL,False,False,0.01,8.9
c9d58550,2026-06-09T11:19:37,BUY,2000.0,2000.02,1.8,0.02,177,BON,NORMAL,False,False,0.01,9.6
5cfbe58b,2026-06-09T11:19:38,BUY,2000.0,2000.02,1.7,0.02,161,BON,NORMAL,False,False,0.01,8.7
64bda99c,2026-06-09T11:19:38,BUY,2000.0,2000.02,1.5,0.01,156,BON,NORMAL,False,False,0.01,9.0
2255ba5b,2026-06-09T11:19:38,BUY,2000.0,2000.02,1.5,0.01,105,BON,NORMAL,False,False,0.01,8.9
